Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-10-30,Pearl,2022,https://boxd.it/3nfDYl,3,,,2022-10-29
2022-10-30,Wild Things,1998,https://boxd.it/3ngAuf,2.5,,,2022-10-29
2022-10-30,The Scapegoat,2012,https://boxd.it/3nsxon,2,,,2022-10-30
2022-10-30,The Stranger,2022,https://boxd.it/3nsxvD,3,,,2022-10-30
2022-10-31,Enemy,2013,https://boxd.it/3ntCpx,3,,,2022-10-30
2022-10-31,The Good Nurse,2022,https://boxd.it/3nw6mx,2,,,2022-10-30
2022-10-31,Hellraiser,1987,https://boxd.it/3nzTd1,3.5,,,2022-10-30
2022-11-03,"Confess, Fletch",2022,https://boxd.it/3odrP7,3.5,,,2022-11-02
2022-11-03,Speak No Evil,2022,https://boxd.it/3odEiP,3,,,2022-11-02
2022-11-05,All Quiet on the Western Front,2022,https://boxd.it/3oBw3P,3.5,,,2022-11-04
2022-11-06,Irresistible,2020,https://boxd.it/3oVWGX,2,,,2022-11-05
2022-11-08,Nausicaä of the Valley of the Wind,1984,https://boxd.it/3pjZ2T,,,,2022-11-07
2022-11-09,Pride,2014,https://boxd.it/3pwFIr,3,,,2022-11-08
2022-11-09,Before Sunrise,1995,https://boxd.it/3pH1lz,3.5,,,2022-11-09
2022-11-10,The Lord of the Rings: The Two Towers,2002,https://boxd.it/3pMXoV,4,Yes,,2022-11-09
2023-01-12,The Banshees of Inisherin,2022,https://boxd.it/3GHGRp,3.5,,,2022-11-15
2022-11-21,The Lord of the Rings: The Return of the King,2003,https://boxd.it/3s2kWT,4,Yes,,2022-11-20
2022-12-02,Aftersun,2022,https://boxd.it/3ujRBL,4,,,2022-12-01
2022-12-12,A Knight's Tale,2001,https://boxd.it/3wnB0v,3.5,,,2022-12-11
2022-12-12,Ocean's Eight,2018,https://boxd.it/3wnBAj,2.5,Yes,,2022-12-11
2023-01-12,Amsterdam,2022,https://boxd.it/3GHHLx,3,,,2022-12-13
2023-01-12,Don't Worry Darling,2022,https://boxd.it/3GHJ6L,2,,,2022-12-13
2022-12-20,The Incredibles,2004,https://boxd.it/3yuMLT,4,Yes,,2022-12-19
2022-12-20,Incredibles 2,2018,https://boxd.it/3yuMPL,3,Yes,,2022-12-19
2022-12-21,TÁR,2022,https://boxd.it/3yyJJN,4,,,2022-12-20
2022-12-22,Three Thousand Years of Longing,2022,https://boxd.it/3yMcxR,2,,,2022-12-21
2022-12-22,Before Sunset,2004,https://boxd.it/3yNCpB,3,,,2022-12-21
2022-12-29,Glass Onion,2022,https://boxd.it/3BtWYD,3.5,,,2022-12-28
2023-01-01,White Noise,2022,https://boxd.it/3CqxKp,3.5,,,2022-12-31
2023-01-01,Bros,2022,https://boxd.it/3Csfgl,1.5,,,2022-12-31
